Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2020-01-19 01:14:00,O,1002,29874,693,59,614,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,57226
2020-01-19 01:15:00,O,1003,29877,692,59,614,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,5919
2020-01-19 01:16:00,O,1004,29879,692,59,614,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,8489
2020-01-19 01:17:00,O,1005,29878,692,59,614,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,48371
2020-01-19 01:18:00,O,1006,29881,692,59,613,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,24481
2020-01-19 01:19:01,O,1007,29881,691,59,613,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,31265
2020-01-19 01:20:00,O,1008,29882,690,59,613,1,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,61926
2020-01-19 01:21:00,O,1009,29882,690,59,613,1,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,57941
2020-01-19 01:22:01,O,1010,29882,689,59,612,2,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,25084
2020-01-19 01:23:00,O,1011,29881,689,59,612,1,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,54270
2020-01-19 01:24:00,O,1012,29881,689,59,611,0,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,15614
2020-01-19 01:25:00,O,1013,29883,688,59,610,0,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,23669
2020-01-19 01:26:01,O,1014,29880,688,59,609,0,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,51997
2020-01-19 01:27:00,O,1015,29883,687,59,609,0,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,7254
2020-01-19 01:28:00,O,1016,29883,687,59,608,1,0,29,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,47120
2020-01-19 01:29:00,O,1017,29885,686,59,608,1,1,29,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,11539
2020-01-19 01:30:00,O,1018,29883,686,59,607,1,1,29,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,26709
2020-01-19 01:31:00,O,1019,29883,686,59,607,2,1,29,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,18265
2020-01-19 01:32:00,O,1020,29883,685,59,606,1,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,13697
2020-01-19 01:33:01,O,1021,29883,684,59,606,1,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,21500
2020-01-19 01:34:00,O,1022,29882,684,59,605,1,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,34816
2020-01-19 01:35:00,O,1023,29882,684,59,604,1,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,52045
2020-01-19 01:36:01,O,1024,29881,683,59,604,0,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,56705
2020-01-19 01:37:00,O,1025,29880,683,59,604,0,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,16475
2020-01-19 01:38:00,O,1026,29882,682,59,603,1,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,60750
2020-01-19 01:39:00,O,1027,29883,682,59,603,0,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,51221
2020-01-19 01:40:00,O,1028,29882,681,60,602,1,1,36,65535,65535,65535,84,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,8449
2020-01-19 01:41:00,O,1029,29883,681,59,602,2,1,36,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,51487
2020-01-19 01:42:00,O,1030,29883,681,60,601,1,1,36,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,41228
2020-01-19 01:43:01,O,1031,29881,680,60,600,1,1,36,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,49543
2020-01-19 01:44:00,O,1032,29884,679,60,600,0,1,36,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,56259
2020-01-19 01:45:00,O,1033,29884,679,60,600,0,1,36,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,53996
2020-01-19 01:46:00,O,1034,29885,679,60,600,1,1,36,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,58857
2020-01-19 01:47:00,O,1035,29884,678,60,599,1,1,36,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,16938
2020-01-19 01:48:00,O,1036,29884,678,60,600,2,1,51,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,41531
2020-01-19 01:49:00,O,1037,29887,677,60,599,0,1,51,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,19461
2020-01-19 01:50:01,O,1038,29886,677,60,598,1,1,51,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,819,6,75,616,1805,10,13,29709
2020-01-19 01:51:00,O,1039,29887,676,60,598,0,1,51,65535,65535,65535,85,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,15876
